record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
497,ft_497,NA,Include - Title/Abstract,NA,6D2F5NUZ,2002,"Song, Jin-Won; Gligic, Ana; Yanagihara, Richard",Identification of Tula hantavirus in Pitymys subterraneus captured in the   of Serbia-Yugoslavia.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,1201-9712,10.1016/s1201-9712(02)90133-5,1,6,Int J Infect Dis,Serbia,eng,NA,Place: Canada PMID: 12044299,NA,NA,NA
498,NA,NA,Include - Title/Abstract,NA,FXXY5CFE,2002,"Sosa-Estani, Sergio; Martínez, Valeria P.; González Della Valle, Marcelo; Edelstein, Alexis; Miguel, Sergio; Padula, Paula J.; Cacase, María L.; Segura, Elsa L.",[Hantavirus in human and rodent population in an endemic area for hantavirus pulmonary syndrome in Argentina].,Medicina,0025-7680,NA,1,62,Medicina (B Aires),NA,spa,NA,Place: Argentina PMID: 11965841,NA,NA,NA
499,ft_499,NA,Include - Title/Abstract,NA,QYX3CMXP,2001,"Yashina, L.; Mishin, V.; Zdanovskaya, N.; Schmaljohn, C.; Ivanov, L.","A newly discovered variant of a hantavirus in Apodemus peninsulae, far Eastern Russia.",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0705.017530,5,7,Emerg Infect Dis,Russia,eng,NA,Place: United States PMID: 11747715 PMCID: PMC2631886,NA,NA,NA
500,ft_500,NA,Include - Title/Abstract,NA,GK3SH54F,2001,"Cantoni, G.; Padula, P.; Calderón, G.; Mills, J.; Herrero, E.; Sandoval, P.; Martinez, V.; Pini, N.; Larrieu, E.",Seasonal variation in prevalence of antibody to hantaviruses in rodents from southern Argentina.,Tropical medicine & international health : TM & IH,1360-2276,10.1046/j.1365-3156.2001.00788.x,10,6,Trop Med Int Health,Argentina,eng,NA,Place: England PMID: 11679129,NA,NA,NA
501,ft_501,NA,Exclude - Full Text,"No data, review article",L2PSD7XI,2001,"Arikawa, J.; Yoshimatsu, K.; Kariwa, H.",Epidemiology and epizootiology of hantavirus infection in Japan.,Japanese journal of infectious diseases,1344-6304,NA,3,54,Jpn J Infect Dis,NA,eng,NA,Place: Japan PMID: 11544398,NA,NA,NA
502,ft_502,NA,Include - Title/Abstract,NA,AMBJ6X3H,2001,"Douglass, R. J.; Wilson, T.; Semmens, W. J.; Zanto, S. N.; Bond, C. W.; Van Horn, R. C.; Mills, J. N.",Longitudinal studies of Sin Nombre virus in deer mouse-dominated ecosystems of Montana.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.2001.65.33,1,65,Am J Trop Med Hyg,NA,eng,NA,Place: United States PMID: 11504405,NA,NA,NA
503,ft_503,NA,Include - Title/Abstract,NA,BC3HIV8H,2001,"Calisher, C. H.; Mills, J. N.; Sweeney, W. P.; Choate, J. R.; Sharp, D. E.; Canestorp, K. M.; Beaty, B. J.",Do unusual site-specific population dynamics of rodent reservoirs provide clues to the natural history of hantaviruses?,Journal of wildlife diseases,0090-3558,10.7589/0090-3558-37.2.280,2,37,J Wildl Dis,USA,eng,NA,Place: United States PMID: 11310878,NA,NA,NA
504,ft_504,y,Include - Title/Abstract,NA,299CB68Z,2001,"Sibold, C.; Ulrich, R.; Labuda, M.; Lundkvist, A.; Martens, H.; Schütt, M.; Gerke, P.; Leitmeyer, K.; Meisel, H.; Krüger, D. H.",Dobrava hantavirus causes hemorrhagic fever with renal syndrome in central Europe and is carried by two different Apodemus mice species.,Journal of medical virology,0146-6615,10.1002/1096-9071(20000201)63:2<158::AID-JMV1011>3.0.CO;2-#,2,63,J Med Virol,Slovakia,eng,"Copyright 2001 Wiley-Liss, Inc.",Place: United States PMID: 11170053,NA,NA,NA
505,ft_505,NA,Include - Title/Abstract,NA,SW52T8PF,2000,"Kuenzi, A. J.; Douglass, R. J.; Bond, C. W.","Sin nombre virus in deer mice captured inside homes, southwestern Montana.",Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0604.000411,4,6,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 10905973 PMCID: PMC2640887,NA,NA,NA
506,ft_506,NA,Include - Title/Abstract,NA,94LKU63N,2000,"Boone, J. D.; McGwire, K. C.; Otteson, E. W.; DeBaca, R. S.; Kuhn, E. A.; Villard, P.; Brussard, P. F.; St Jeor, S. C.",Remote sensing and geographic information systems: charting Sin Nombre virus infections in deer mice.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0603.000304,3,6,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 10827114 PMCID: PMC2640872,NA,NA,NA
507,ft_507,NA,Include - Title/Abstract,NA,YPSBM66K,1999,"Calderón, G.; Pini, N.; Bolpe, J.; Levis, S.; Mills, J.; Segura, E.; Guthmann, N.; Cantoni, G.; Becker, J.; Fonollat, A.; Ripoll, C.; Bortman, M.; Benedetti, R.; Enria, D.",Hantavirus reservoir hosts associated with peridomestic habitats in Argentina.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0506.990608,6,5,Emerg Infect Dis,Argentina,eng,NA,Place: United States PMID: 10603213 PMCID: PMC2640793,NA,NA,NA
508,ft_508,NA,Include - Title/Abstract,NA,GCFS7ZSK,1999,"Sibold, C.; Meisel, H.; Lundkvist, A.; Schulz, A.; Cifire, F.; Ulrich, R.; Kozuch, O.; Labuda, M.; Krüger, D. H.","Short report: simultaneous occurrence of Dobrava, Puumala, and Tula Hantaviruses in Slovakia.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1999.61.409,3,61,Am J Trop Med Hyg,Slovakia,eng,NA,Place: United States PMID: 10497981,NA,NA,NA
509,ft_509,NA,Include - Title/Abstract,NA,XDTYEVT8,1999,"Aberle, S. W.; Lehner, P.; Ecker, M.; Aberle, J. H.; Arneitz, K.; Khanakah, G.; Radda, A.; Radda, I.; Popow-Kraupp, T.; Kunz, C.; Heinz, F. X.",Nephropathia epidemica and Puumala virus in Austria.,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,0934-9723,10.1007/s100960050325,7,18,Eur J Clin Microbiol Infect Dis,Austria,eng,NA,Place: Germany PMID: 10482022,NA,NA,NA
510,ft_510,NA,Include - Title/Abstract,NA,8DTPNKYE,1999,"Heiske, A.; Anheier, B.; Pilaski, J.; Volchkov, V. E.; Feldmann, H.",A new Clethrionomys-derived hantavirus from Germany: evidence for distinct genetic sublineages of Puumala viruses in Western Europe.,Virus research,0168-1702,10.1016/s0168-1702(99)00024-6,2,61,Virus Res,Germany,eng,NA,Place: Netherlands PMID: 10475080,NA,NA,NA
511,ft_511,NA,Include - Title/Abstract,NA,D42GM2EQ,1999,"Powers, A. M.; Mercer, D. R.; Watts, D. M.; Guzman, H.; Fulhorst, C. F.; Popov, V. L.; Tesh, R. B.","Isolation and genetic characterization of a hantavirus (Bunyaviridae: Hantavirus) from a rodent, Oligoryzomys microtis (Muridae), collected in northeastern Peru.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1999.61.92,1,61,Am J Trop Med Hyg,Peru,eng,NA,Place: United States PMID: 10432063,NA,NA,NA
512,ft_512,NA,Include - Title/Abstract,NA,YY3L6CIP,1999,"Abbott, K. D.; Ksiazek, T. G.; Mills, J. N.",Long-term hantavirus persistence in rodent populations in central Arizona.,Emerging infectious diseases,1080-6040 1080-6059,10.3201/eid0501.990112,1,5,Emerg Infect Dis,USA,eng,NA,Place: United States PMID: 10081677 PMCID: PMC2627700,NA,NA,NA
513,ft_513,NA,Include - Title/Abstract,NA,5SM6FUW6,1998,"Engelthaler, D. M.; Levy, C. E.; Fink, T. M.; Tanda, D.; Davis, T.",Short report: Decrease in seroprevalence of antibodies to hantavirus in rodents from 1993-1994 hantavirus pulmonary syndrome case sites.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1998.58.737,6,58,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9660455,NA,NA,NA
514,ft_514,NA,Include - Title/Abstract,NA,SRPL4487,1997,"Fulhorst, C. F.; Monroe, M. C.; Salas, R. A.; Duno, G.; Utrera, A.; Ksiazek, T. G.; Nichol, S. T.; de Manzione, N. M.; Tovar, D.; Tesh, R. B.","Isolation, characterization and geographic distribution of Caño Delgadito virus, a newly discovered South American hantavirus (family Bunyaviridae).",Virus research,0168-1702,10.1016/s0168-1702(97)00091-9,2,51,Virus Res,Venezuela,eng,NA,Place: Netherlands PMID: 9498614,NA,NA,NA
515,ft_515,NA,Include - Title/Abstract,NA,TPJP8BVH,1998,"Levis, S.; Morzunov, S. P.; Rowe, J. E.; Enria, D.; Pini, N.; Calderon, G.; Sabattini, M.; St Jeor, S. C.",Genetic diversity and epidemiology of hantaviruses in Argentina.,The Journal of infectious diseases,0022-1899,10.1086/514221,3,177,J Infect Dis,Argentina,eng,NA,Place: United States PMID: 9498428,NA,NA,NA
516,ft_516,NA,Exclude - Full Text,"No data, no pathogen",F5T8YEL4,1998,"Parmenter, C. A.; Yates, T. L.; Parmenter, R. R.; Mills, J. N.; Childs, J. E.; Campbell, M. L.; Dunnum, J. L.; Milner, J.",Small mammal survival and trapability in mark-recapture monitoring programs for hantavirus.,Journal of wildlife diseases,0090-3558,10.7589/0090-3558-34.1.1,1,34,J Wildl Dis,USA,eng,NA,Place: United States PMID: 9476220,NA,NA,NA
517,ft_517,NA,Include - Title/Abstract,NA,AQYBQQD2,1997,"Johnson, A. M.; Bowen, M. D.; Ksiazek, T. G.; Williams, R. J.; Bryan, R. T.; Mills, J. N.; Peters, C. J.; Nichol, S. T.",Laguna Negra virus associated with HPS in western Paraguay and Bolivia.,Virology,0042-6822,10.1006/viro.1997.8840,1,238,Virology,"Paraguay, Bolivia",eng,NA,Place: United States PMID: 9375015,NA,NA,NA
518,ft_518,NA,Include - Title/Abstract,NA,FLMH2YQL,1997,"Bowen, M. D.; Gelbmann, W.; Ksiazek, T. G.; Nichol, S. T.; Nowotny, N.",Puumala virus and two genetic variants of Tula virus are present in Austrian rodents.,Journal of medical virology,0146-6615,10.1002/(sici)1096-9071(199710)53:2<174::aid-jmv11>3.0.co;2-j,2,53,J Med Virol,Austria,eng,NA,Place: United States PMID: 9334930,NA,NA,NA
519,ft_519,NA,Include - Title/Abstract,NA,4AIYGLQC,1997,"Ahlm, C.; Alexeyev, O. A.; Elgh, F.; Aava, B.; Wadell, G.; Tarnvik, A.; Juto, P.; Palo, T.",High prevalence of hantavirus antibodies in bank voles (Clethrionomys glareolus) captured in the vicinity of households afflicted with nephropathia epidemica.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1997.56.674,6,56,Am J Trop Med Hyg,NA,eng,NA,Place: United States PMID: 9230802,NA,NA,NA
520,ft_520,NA,Include - Title/Abstract,NA,YD4LCLCH,1997,"Slonova, R. A.; Astakhova, T. I.; Kompanets, G. G.; Kosoĭ, M. E.; Kushnarev, E. L.; Sheremet'ev, S. A.; Borzov, V. G.",[The ecological aspects of the epidemiology of hemorrhagic fever with renal syndrome in the south of the Far East in Russia].,"Zhurnal mikrobiologii, epidemiologii i immunobiologii",0372-9311,NA,3,NA,Zh Mikrobiol Epidemiol Immunobiol,NA,rus,NA,Place: Russia (Federation) PMID: 9304320,NA,NA,NA
521,ft_521,NA,Include - Title/Abstract,NA,UHQUBXTR,1997,"Fulhorst, C. E.; Bowen, M. D.; Salas, R. A.; de Manzione, N. M.; Duno, G.; Utrera, A.; Ksiazek, T. G.; Peters, C. J.; Nichol, S. T.; De Miller, E.; Tovar, D.; Ramos, B.; Vasquez, C.; Tesh, R. B.","Isolation and characterization of pirital virus, a newly discovered South American arenavirus.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1997.56.548,5,56,Am J Trop Med Hyg,Venezuela,eng,NA,Place: United States PMID: 9180606,NA,NA,NA
522,ft_522,NA,Include - Title/Abstract,NA,KWUKS5T5,1997,"Mills, J. N.; Ksiazek, T. G.; Ellis, B. A.; Rollin, P. E.; Nichol, S. T.; Yates, T. L.; Gannon, W. L.; Levy, C. E.; Engelthaler, D. M.; Davis, T.; Tanda, D. T.; Frampton, J. W.; Nichols, C. R.; Peters, C. J.; Childs, J. E.",Patterns of association with host and habitat: antibody reactive with Sin Nombre virus in small mammals in the major biotic communities of the southwestern United States.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1997.56.273,3,56,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9129529,NA,NA,NA
523,ft_523,NA,Include - Title/Abstract,NA,G5VNCEVE,1996,"Rawlings, J. A.; Torrez-Martinez, N.; Neill, S. U.; Moore, G. M.; Hicks, B. N.; Pichuantes, S.; Nguyen, A.; Bharadwaj, M.; Hjelle, B.","Cocirculation of multiple hantaviruses in Texas, with characterization of the small (S) genome of a previously undescribed virus of cotton rats (Sigmodon hispidus).",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1996.55.672,6,55,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 9025697,NA,NA,NA
524,ft_524,NA,Include - Title/Abstract,NA,DRNKR7ZS,1996,"Fulhorst, C. F.; Bowen, M. D.; Ksiazek, T. G.; Rollin, P. E.; Nichol, S. T.; Kosoy, M. Y.; Peters, C. J.","Isolation and characterization of Whitewater Arroyo virus, a novel North American arenavirus.",Virology,0042-6822,10.1006/viro.1996.0512,1,224,Virology,USA,eng,NA,Place: United States PMID: 8862405,NA,NA,NA
525,ft_525,NA,Include - Title/Abstract,NA,ZTXS22WC,1996,"Hjelle, B.; Tórrez-Martínez, N.; Koster, F. T.; Jay, M.; Ascher, M. S.; Brown, T.; Reynolds, P.; Ettestad, P.; Voorhees, R. E.; Sarisky, J.; Enscore, R. E.; Sands, L.; Mosley, D. G.; Kioski, C.; Bryan, R. T.; Sewell, C. M.",Epidemiologic linkage of rodent and human hantavirus genomic sequences in case investigations of hantavirus pulmonary syndrome.,The Journal of infectious diseases,0022-1899,10.1093/infdis/173.4.781,4,173,J Infect Dis,USA,eng,NA,Place: United States PMID: 8603954,NA,NA,NA
526,ft_526,NA,Include - Title/Abstract,NA,GDXBNFEK,1996,"Otteson, E. W.; Riolo, J.; Rowe, J. E.; Nichol, S. T.; Ksiazek, T. G.; Rollin, P. E.; St Jeor, S. C.",Occurrence of hantavirus within the rodent population of northeastern California and Nevada.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1996.54.127,2,54,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 8619434,NA,NA,NA
527,ft_527,NA,Include - Title/Abstract,NA,8HTL5MUL,1995,"Li, D.; Schmaljohn, A. L.; Anderson, K.; Schmaljohn, C. S.",Complete nucleotide sequences of the M and S segments of two hantavirus isolates from California: evidence for reassortment in nature among viruses related to hantavirus pulmonary syndrome.,Virology,0042-6822,10.1006/viro.1995.1020,2,206,Virology,USA,eng,NA,Place: United States PMID: 7856108,NA,NA,NA
528,ft_528,NA,Include - Title/Abstract,NA,E8ISISUC,1994,"Diglisic, G.; Xiao, S. Y.; Gligic, A.; Obradovic, M.; Stojanovic, R.; Velimirovic, D.; Lukac, V.; Rossi, C. A.; LeDuc, J. W.",Isolation of a Puumala-like virus from Mus musculus captured in Yugoslavia and its association with severe hemorrhagic fever with renal syndrome.,The Journal of infectious diseases,0022-1899,10.1093/infdis/169.1.204,1,169,J Infect Dis,Serbia,eng,NA,Place: United States PMID: 7506281,NA,NA,NA
529,ft_529,NA,Include - Title/Abstract,NA,SIG3TJVV,1993,"Nichol, S. T.; Spiropoulou, C. F.; Morzunov, S.; Rollin, P. E.; Ksiazek, T. G.; Feldmann, H.; Sanchez, A.; Childs, J.; Zaki, S.; Peters, C. J.",Genetic identification of a hantavirus associated with an outbreak of acute respiratory illness.,"Science (New York, N.Y.)",0036-8075,10.1126/science.8235615,5135,262,Science,USA,eng,NA,Place: United States PMID: 8235615,NA,NA,NA
530,ft_530,NA,Include - Title/Abstract,NA,V64LGZMH,1992,"Arthur, R. R.; Lofts, R. S.; Gomez, J.; Glass, G. E.; Leduc, J. W.; Childs, J. E.",Grouping of hantaviruses by small (S) genome segment polymerase chain reaction and amplification of viral RNA from wild-caught rats.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1992.47.210,2,47,Am J Trop Med Hyg,NA,eng,NA,Place: United States PMID: 1354416,NA,NA,NA
531,ft_531,NA,Include - Title/Abstract,NA,LNCPLTSW,1989,"Korch, G. W.; Childs, J. E.; Glass, G. E.; Rossi, C. A.; LeDuc, J. W.","Serologic evidence of hantaviral infections within small mammal communities of Baltimore, Maryland: spatial and temporal patterns and host range.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1989.41.230,2,41,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 2570533,NA,NA,NA
532,ft_532,NA,Include - Title/Abstract,NA,XCYHB83K,1989,"Gligić, A.; Frusić, M.; Obradović, M.; Stojanović, R.; Hlaca, D.; Gibbs, C. J. Jr; Yanagihara, R.; Calisher, C. H.; Gajdusek, D. C.",Hemorrhagic fever with renal syndrome in Yugoslavia: antigenic characterization of hantaviruses isolated from Apodemus flavicollis and Clethrionomys glareolus.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1989.41.109,1,41,Am J Trop Med Hyg,Bosnia and Herzegovina,eng,NA,Place: United States PMID: 2569846,NA,NA,NA
533,ft_533,NA,Include - Title/Abstract,NA,S3N3TCED,1988,"Glass, G. E.; Childs, J. E.; Korch, G. W.; LeDuc, J. W.",Association of intraspecific wounding with hantaviral infection in wild rats (Rattus norvegicus).,Epidemiology and infection,0950-2688,10.1017/s0950268800054418,2,101,Epidemiol Infect,USA,eng,NA,Place: England PMID: 3141203 PMCID: PMC2249393,NA,NA,NA
534,ft_534,NA,Include - Title/Abstract,NA,8CWDDGVA,1987,"Childs, J. E.; Glass, G. E.; Korch, G. W.; LeDuc, J. W.","Prospective seroepidemiology of hantaviruses and population dynamics of small mammal communities of Baltimore, Maryland.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1987.37.648,3,37,Am J Trop Med Hyg,USA,eng,NA,Place: United States PMID: 2891308,NA,NA,NA
535,ft_535,NA,Include - Title/Abstract,NA,2QBEYV63,1986,"Verhagen, R.; Leirs, H.; Tkachenko, E.; van der Groen, G.",Ecological and epidemiological data on Hantavirus in bank vole populations in Belgium.,Archives of virology,0304-8608,10.1007/BF01314280,03-Apr,91,Arch Virol,Belgium,eng,NA,Place: Austria PMID: 2877647,NA,NA,NA
536,NA,NA,Include - Title/Abstract,NA,TDWTRWB4,1985,"Weissenbacher, M. C.; Calello, M. A.; Carballal, G.; Planes, N.; de la Vega, M. T.; Kravetz, F.",[Junin virus activity in humans and rodents of non-endemic areas of the province of Buenos Aires].,Medicina,0025-7680,NA,3,45,Medicina (B Aires),NA,spa,NA,Place: Argentina PMID: 3020341,NA,NA,NA
537,ft_537,NA,Include - Title/Abstract,NA,KIQUZWYN,1983,"Gonzalez, J. P.; McCormick, J. B.; Saluzzo, J. F.; Herve, J. P.; Georges, A. J.; Johnson, K. M.",An arenavirus isolated from wild-caught rodents (Pramys species) in the Central African Republic.,Intervirology,0300-5526,10.1159/000149344,2,19,Intervirology,Central African Republic,eng,NA,Place: Switzerland PMID: 6862813,NA,NA,NA
538,ft_538,NA,Include - Title/Abstract,NA,DP2DSXI9,1978,"Lee, H. W.; Lee, P. W.; Johnson, K. M.",Isolation of the etiologic agent of Korean Hemorrhagic fever.,The Journal of infectious diseases,0022-1899,10.1093/infdis/137.3.298,3,137,J Infect Dis,Republic of Korea,eng,NA,Place: United States PMID: 24670,NA,NA,NA
539,ft_539,NA,Include - Title/Abstract,NA,CRWGS2RB,1977,"Chastel, C.; Rogues, G.; Beaucournu-Saguez, F.; Hellal, H.; Le Goff, F.; Beaucournu, J. C.",[Mixed sero-epidemiologic study of arbovirus-arenavirus in the small mammals of Tunisia].,Bulletin de la Societe de pathologie exotique et de ses filiales,NA,NA,5,70,Bull Soc Pathol Exot Filiales,NA,fre,NA,Place: France PMID: 615674,NA,NA,NA
540,ft_540,NA,Include - Title/Abstract,NA,4Q2RD2BT,2018,"Mariën, Joachim; Sluydts, Vincent; Borremans, Benny; Gryseels, Sophie; Vanden Broecke, Bram; Sabuni, Christopher A.; Katakweba, Abdul A. S.; Mulungu, Loth S.; Günther, Stephan; de Bellocq, Joëlle Goüy; Massawe, Apia W.; Leirs, Herwig",Arenavirus infection correlates with lower survival of its natural rodent host in a long-term capture-mark-recapture study.,Parasites & vectors,1756-3305,10.1186/s13071-018-2674-2,1,11,Parasit Vectors,Tanzania,eng,NA,Place: England PMID: 29422075 PMCID: PMC5806307,NA,NA,NA
541,ft_541,NA,Include - Title/Abstract,NA,EH759BHW,2018,"Xiao, Hong; Tong, Xin; Huang, Ru; Gao, Lidong; Hu, Shixiong; Li, Yapin; Gao, Hongwei; Zheng, Pai; Yang, Huisuo; Huang, Zheng Y. X.; Tan, Hua; Tian, Huaiyu","Landscape and rodent community composition are associated with risk of hemorrhagic fever with renal syndrome in two cities in China, 2006-2013.",BMC infectious diseases,1471-2334,10.1186/s12879-017-2827-5,1,18,BMC Infect Dis,China,eng,NA,Place: England PMID: 29329512 PMCID: PMC5767038,NA,NA,NA
542,ft_542,NA,Include - Title/Abstract,NA,VWJS84TB,2017,"Lee, Seung-Ho; Kim, Won-Keun; No, Jin Sun; Kim, Jeong-Ah; Kim, Jin Il; Gu, Se Hun; Kim, Heung-Chul; Klein, Terry A.; Park, Man-Seong; Song, Jin-Won","Dynamic Circulation and Genetic Exchange of a Shrew-borne Hantavirus, Imjin virus, in the Republic of Korea.",Scientific reports,2045-2322,10.1038/srep44369,NA,7,Sci Rep,Republic of Korea,eng,NA,Place: England PMID: 28295052 PMCID: PMC5353647,NA,NA,NA
543,ft_543,NA,Include - Title/Abstract,NA,669B2KMW,2017,"Sun, Xi-Feng; Zhao, Li; Zhang, Zhen-Tang; Liu, Miao-Miao; Xue, Zai-Feng; Wen, Hong-Ling; Ma, Dong-Qiang; Huang, Yu-Ting; Sun, Yue; Zhou, Chuan-Min; Luo, Li-Mei; Liu, Jian-Wei; Li, Wen-Qian; Yu, Hao; Yu, Xue-Jie","Detection of Imjin Virus and Seoul Virus in Crocidurine Shrews in Shandong Province, China.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2016.2056,6,17,Vector Borne Zoonotic Dis,China,eng,NA,Place: United States PMID: 28287930,NA,NA,NA
544,ft_544,NA,Include - Title/Abstract,NA,G8UWMZYK,2017,"Guzzetta, Giorgio; Tagliapietra, Valentina; Perkins, Sarah E.; Hauffe, Heidi C.; Poletti, Piero; Merler, Stefano; Rizzoli, Annapaola",Population dynamics of wild rodents induce stochastic fadeouts of a zoonotic pathogen.,The Journal of animal ecology,1365-2656 0021-8790,10.1111/1365-2656.12653,3,86,J Anim Ecol,Italy,eng,© 2017 The Authors. Journal of Animal Ecology © 2017 British Ecological Society.,Place: England PMID: 28217934,NA,NA,NA
545,ft_545,NA,Include - Title/Abstract,NA,7LN87ARN,2017,"Gryseels, Sophie; Baird, Stuart J. E.; Borremans, Benny; Makundi, Rhodes; Leirs, Herwig; Goüy de Bellocq, Joëlle",When Viruses Don't Go Viral: The Importance of Host Phylogeographic Structure in the Spatial Spread of Arenaviruses.,PLoS pathogens,1553-7374 1553-7366,10.1371/journal.ppat.1006073,1,13,PLoS Pathog,Tanzania,eng,NA,Place: United States PMID: 28076397 PMCID: PMC5226678,NA,NA,NA
546,ft_546,NA,Include - Title/Abstract,NA,3UVMJVUA,2017,"Těšíková, Jana; Bryjová, Anna; Bryja, Josef; Lavrenchenko, Leonid A.; Goüy de Bellocq, Joëlle",Hantavirus Strains in East Africa Related to Western African Hantaviruses.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2016.2022,4,17,Vector Borne Zoonotic Dis,"Zambia, Mozambique, Kenya, Ethiopia, Tanzania",eng,NA,Place: United States PMID: 28075239,NA,NA,NA
547,ft_547,NA,Include - Title/Abstract,NA,ULJUHR86,2016,"Jiang, Fachun; Zhang, Zhentang; Dong, Liyan; Hao, Bi; Xue, Zaifeng; Ma, Dongqiang; Su, Hang; Wen, Hong-Ling; Yu, Hao; Yu, Xue-Jie","Prevalence of hemorrhagic fever with renal syndrome in Qingdao City, China, 2010-2014.",Scientific reports,2045-2322,10.1038/srep36081,NA,6,Sci Rep,China,eng,NA,Place: England PMID: 27786303 PMCID: PMC5081555,NA,NA,NA
548,ft_548,NA,Include - Title/Abstract,NA,Z5J7DULP,2016,"Li, Qi; Cai, Yanan; Wei, Yamei; Han, Xu; Han, Zhanying; Zhang, Yanbo; Qi, Shunxiang; Xu, Yonggang","Genovariation Study of Hantavirus in Main Endemic Areas of Hemorrhagic Fever with Renal Syndrome in Hebei Province, China.",PloS one,1932-6203,10.1371/journal.pone.0159731,7,11,PLoS One,China,eng,NA,Place: United States PMID: 27442527 PMCID: PMC4956097,NA,NA,NA
549,NA,NA,Exclude - Full Text,"No data, review of processes",FGPBNSEU,2016,"Trankvilevsky, D. V.; Tsarenko, V. A.; Zhukov, V. I.",[THE PRESENT STATE OF EPIZOOTOLOGICAL MONITORING OF THE NATURAL FOCI OF INFECTIONS IN THE RUSSIAN FEDERATION].,Meditsinskaia parazitologiia i parazitarnye bolezni,0025-8326,NA,2,NA,Med Parazitol (Mosk),NA,rus,NA,Place: Russia (Federation) PMID: 27405210,NA,NA,NA
550,ft_550,NA,Include - Title/Abstract,NA,CG88PPII,2016,"Guo, Gang; Sheng, Jinliang; Wu, Xiran; Wang, Yuanzhi; Guo, Liping; Zhang, Xun; Yao, Hua","Seoul virus in the Brown Rat ( Rattus norvegicus ) from Ürümqi, Xinjiang, Northwest of China.",Journal of wildlife diseases,1943-3700 0090-3558,10.7589/2015-08-210,3,52,J Wildl Dis,China,eng,NA,Place: United States PMID: 27258409,NA,NA,NA
551,ft_551,NA,Include - Title/Abstract,NA,PW83ZBYG,2016,"Arai, Satoru; Kang, Hae Ji; Gu, Se Hun; Ohdachi, Satoshi D.; Cook, Joseph A.; Yashina, Liudmila N.; Tanaka-Taya, Keiko; Abramov, Sergey A.; Morikawa, Shigeru; Okabe, Nobuhiko; Oishi, Kazunori; Yanagihara, Richard",Genetic Diversity of Artybash Virus in the Laxmann's Shrew (Sorex caecutiens).,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2015.1903,7,16,Vector Borne Zoonotic Dis,"Russia, Japan",eng,NA,Place: United States PMID: 27172519 PMCID: PMC4931335,NA,NA,NA
552,ft_552,NA,Include - Title/Abstract,NA,BFHR8V4H,2016,"Sogoba, Nafomon; Rosenke, Kyle; Adjemian, Jennifer; Diawara, Sory Ibrahim; Maiga, Ousmane; Keita, Moussa; Konaté, Drissa; Keita, Abdoul Salam; Sissoko, Ibrahim; Boisen, Matt; Nelson, Diana; Oottamasathien, Darin; Millett, Molly; Garry, Robert F.; Branco, Luis M.; Traoré, Sékou F.; Doumbia, Seydou; Feldmann, Heinz; Safronetz, David","Lassa Virus Seroprevalence in Sibirilia Commune, Bougouni District, Southern Mali.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2204.151814,4,22,Emerg Infect Dis,Mali,eng,NA,Place: United States PMID: 26981786 PMCID: PMC4806955,NA,NA,NA
